symbol,side,entry_time,entry_price,exit_time,exit_price,quantity,pnl,pnl_pct,fees,exit_reason
BTCUSDT,LONG,2024-10-01 07:30:00,64130.049,2024-10-01 10:00:00,63722.033045000004,0.000545765994970626,-0.25745855241081816,-0.636232096127036,0.034777318766355536,signal
BTCUSDT,LONG,2024-10-02 02:30:00,61692.77097,2024-10-02 09:15:00,61493.59782,0.000567161490730907,-0.1478401412775658,-0.32284682122132125,0.03487680060999806,signal
BTCUSDT,LONG,2024-10-02 16:00:00,62165.066999999995,2024-10-02 18:00:00,61074.28758,0.0005627495729069613,-0.6482051819919443,-1.7546501156348773,0.034369529251241926,stop_loss
BTCUSDT,LONG,2024-10-04 01:15:00,61106.527995,2024-10-04 14:15:00,60921.524000000005,0.000572106687319918,-0.1406956340025169,-0.30275651566249956,0.03485361128212088,signal
BTCUSDT,LONG,2024-10-04 16:30:00,62233.100999999995,2024-10-04 23:00:00,62086.431255,0.000561651352979912,-0.11724818883652924,-0.23567802767853713,0.034870928116065056,signal
BTCUSDT,LONG,2024-10-06 12:45:00,62253.111,2024-10-06 21:00:00,62533.927395000006,0.0005613852506823002,0.12254055779598902,0.45108813116184493,0.03510562450679084,signal
BTCUSDT,LONG,2024-10-07 00:30:00,63341.644994999995,2024-10-07 03:30:00,63444.252005,0.0005517861758646858,0.021609468470379055,0.1619898094028131,0.03500766119443438,signal
BTCUSDT,LONG,2024-10-07 14:00:00,63941.764904999996,2024-10-07 18:30:00,63166.410995000006,0.0005466001315658205,-0.45833531777647596,-1.212593851846215,0.03452676856040769,signal
BTCUSDT,LONG,2024-10-08 13:30:00,62873.431005,2024-10-08 19:00:00,61881.053995,0.0005556132621508229,-0.5857597620850711,-1.5783726037172647,0.034381934275493166,stop_loss
BTCUSDT,LONG,2024-10-09 05:45:00,62555.35204499999,2024-10-09 07:00:00,62188.89999500001,0.0005580911417554178,-0.23922071718582832,-0.5858044723917042,0.03470707420272305,signal
BTCUSDT,LONG,2024-10-09 15:15:00,62342.67575999999,2024-10-09 18:00:00,61425.272000000004,0.0005598411166917493,-0.5479887383251765,-1.4715501842296714,0.034388392869574444,signal
BTCUSDT,LONG,2024-10-10 06:45:00,61174.421924999995,2024-10-10 08:45:00,60785.29215,0.0005701989645638346,-0.25654110543059466,-0.636098818354292,0.034659710644640185,signal
BTCUSDT,LONG,2024-10-10 11:30:00,61309.6395,2024-10-10 14:30:00,60545.71200000001,0.0005687750332476623,-0.4689397785671017,-1.2460153186840883,0.03443688935580339,signal
BTCUSDT,LONG,2024-10-11 01:45:00,60608.839275,2024-10-11 22:00:00,62731.108755,0.0005750606556890915,1.1843594861849946,3.5015841012408213,0.03607419253275401,signal
BTCUSDT,LONG,2024-10-12 10:00:00,62989.468994999996,2024-10-12 18:15:00,62995.39654500001,0.00055396548202784,-0.031613617119583486,0.009410382552177745,0.03489727521258586,signal
BTCUSDT,LONG,2024-10-12 23:00:00,63363.365849999995,2024-10-13 01:00:00,62995.53647500001,0.0005506598855683936,-0.23723799645282945,-0.5805079481900449,0.03468911490664307,signal
BTCUSDT,LONG,2024-10-14 03:15:00,63361.66499999999,2024-10-14 13:15:00,64699.614010000005,0.0005505243470177247,0.7009547923181133,2.111606457942687,0.03561871275515409,signal
